code,codein,name,high,low,varBid,pctChange,bid,ask,timestamp,create_date
USD,BRL,DÃ³lar Americano/Real Brasileiro,5.3343,5.32194,-0.003549,-0.066589,5.32615,5.33926,2025-11-20 21:43:28,2025-11-20 18:42:45
,,,5.3459,5.31315,0.0081,0.152211,5.3297,5.3327,2025-11-19 23:57:52,
,,,5.3435,5.30837,-0.0065,-0.121999,5.3216,5.3246,2025-11-19 00:00:00,
,,,5.3345,5.28723,0.0325,0.613718,5.3281,5.3311,2025-11-18 00:00:00,
,,,5.2956,5.2953,0.0003,0.005665,5.2956,5.2986,2025-11-16 22:00:32,
,,,5.3156,5.2722,-0.0013,-0.024541,5.2953,5.2983,2025-11-14 22:02:40,
,,,5.3061,5.26139,0.0052,0.098274,5.2966,5.2996,2025-11-13 23:57:52,
,,,5.3015,5.25998,0.0207,0.392738,5.2914,5.2944,2025-11-12 23:57:52,
,,,5.314,5.25875,-0.0188,-0.355426,5.2707,5.2737,2025-11-12 00:00:00,
,,,5.3603,5.28309,-0.0414,-0.776608,5.2895,5.2925,2025-11-10 22:38:56,
,,,5.3309,5.3309,0,-4e-06,5.3309,5.3339,2025-11-09 22:00:32,
,,,5.3649,5.32373,-0.0177,-0.330926,5.3309,5.3339,2025-11-07 22:02:40,
,,,5.3615,5.3284,-0.01,-0.186619,5.3486,5.3516,2025-11-06 23:57:52,
,,,5.4011,5.34568,-0.0374,-0.693104,5.3586,5.3616,2025-11-05 23:04:32,
,,,5.3979,5.3654,0.0306,0.570324,5.396,5.399,2025-11-05 00:00:00,
,,,5.4155,5.33934,-0.0092,-0.171174,5.3654,5.3684,2025-11-03 15:32:16,
,,,5.3746,5.3737,0.0009,0.016746,5.3746,5.3776,2025-11-02 22:00:32,
,,,5.3974,5.36673,-0.008,-0.148653,5.3737,5.3767,2025-10-31 22:02:40,
,,,5.4125,5.34974,0.0238,0.444201,5.3817,5.3847,2025-10-30 23:53:36,
,,,5.3664,5.32742,0.00234,0.043696,5.3579,5.3609,2025-10-29 23:57:52,
,,,5.3853,5.34636,-0.017442,-0.324626,5.35556,5.36896,2025-10-29 00:00:00,
,,,5.4007,5.35651,-0.0153,-0.283947,5.373,5.376,2025-10-28 00:00:00,
,,,5.3884,5.3883,-0.0001,-0.001857,5.3883,5.3913,2025-10-26 21:00:48,
,,,5.3953,5.3596,0.00856,0.159114,5.3884,5.3914,2025-10-24 21:02:56,
,,,5.4031,5.37104,-0.019562,-0.362304,5.37984,5.39332,2025-10-24 00:00:00,
,,,5.4123,5.37522,0.01806,0.335604,5.3994,5.4024,2025-10-22 23:28:00,
,,,5.4034,5.36384,0.012644,0.235513,5.38134,5.39481,2025-10-21 23:47:12,
,,,5.4364,5.36133,-0.0382,-0.706503,5.3687,5.3787,2025-10-20 22:00:32,
,,,5.407,5.40002,0.0067,0.124072,5.4069,5.4099,2025-10-19 23:57:52,
,,,5.4588,5.39567,-0.0447,-0.820952,5.4002,5.4102,2025-10-17 21:24:16,
